area_type,bath,balcony,price,availability_refined,availibility_due,size_bhk,scale,total_sqft_refined
Super built-up  Area,2,1,39.07,Under Construction,Dec,2,1,1056
Plot  Area,5,3,120,Ready To Move,,4,1,2600
Built-up  Area,2,3,62,Ready To Move,,3,1,1440
Super built-up  Area,3,1,95,Ready To Move,,3,1,1521
Super built-up  Area,2,1,51,Ready To Move,,2,1,1200
Super built-up  Area,2,1,38,Ready To Move,,2,1,1170
Super built-up  Area,4,,204,Under Construction,May,4,1,2732
Super built-up  Area,4,,600,Ready To Move,,4,1,3300
Super built-up  Area,3,1,63.25,Ready To Move,,3,1,1310
Plot  Area,6,,370,Ready To Move,,6,1,1020
Super built-up  Area,2,2,70,Under Construction,Feb,3,1,1800
Plot  Area,5,3,295,Ready To Move,,4,1,2785
Super built-up  Area,2,1,38,Ready To Move,,2,1,1000
Built-up  Area,2,2,40,Ready To Move,,2,1,1100
Plot  Area,3,2,148,Ready To Move,,3,1,2250
Super built-up  Area,2,2,73.5,Ready To Move,,2,1,1175
Super built-up  Area,3,2,48,Ready To Move,,3,1,1180
Super built-up  Area,3,3,60,Ready To Move,,3,1,1540
Super built-up  Area,4,2,290,Ready To Move,,3,1,2770
Super built-up  Area,2,2,48,Ready To Move,,2,1,1100
Built-up  Area,1,1,15,Ready To Move,,1,1,600
Super built-up  Area,3,1,122,Under Construction,Dec,3,1,1755
Plot  Area,5,2,380,Ready To Move,,4,1,2800
Super built-up  Area,3,1,103,Ready To Move,,3,1,1767
Super built-up  Area,1,0,25.25,Under Construction,Nov,1,1,510
Super built-up  Area,3,2,56,Under Construction,May,3,1,1250
Super built-up  Area,1,1,23.1,Ready To Move,,2,1,660
Built-up  Area,3,2,81,Under Construction,Dec,3,1,1610
Super built-up  Area,2,2,48.77,Under Construction,Oct,2,1,1151
Super built-up  Area,2,1,47,Ready To Move,,3,1,1025
Super built-up  Area,4,0,186,Under Construction,Dec,4,1,2475
Super built-up  Area,2,1,35,Ready To Move,,3,1,1075
Super built-up  Area,2,2,123,Ready To Move,,3,1,1760
Super built-up  Area,3,3,57.39,Ready To Move,,3,1,1693
Built-up  Area,3,,125,Ready To Move,,3,1,1925
Super built-up  Area,2,1,36,Under Construction,Dec,2,1,700
Super built-up  Area,2,1,45.5,Ready To Move,,2,1,1070
Super built-up  Area,3,2,125,Ready To Move,,3,1,1724
Super built-up  Area,2,2,56.12,Ready To Move,,3,1,1290
Built-up  Area,2,2,45,Ready To Move,,2,1,1143
Built-up  Area,2,,81,Ready To Move,,2,1,1296
Super built-up  Area,3,2,38,Under Construction,Dec,3,1,1254
Super built-up  Area,1,0,38,Ready To Move,,1,1,600
Plot  Area,1,0,48,Ready To Move,,1,1,660
Super built-up  Area,2,2,91.79,Under Construction,Sep,2,1,1330
Plot  Area,9,,200,Ready To Move,,8,1,600
Super built-up  Area,2,0,33,Ready To Move,,2,1,970
Super built-up  Area,2,1,94.82,Under Construction,Sep,2,1,1459
Plot  Area,1,1,130,Ready To Move,,2,1,800
Built-up  Area,2,1,36,Ready To Move,,2,1,869
Super built-up  Area,2,1,50,Ready To Move,,2,1,1270
Super built-up  Area,3,1,99,Under Construction,Mar,3,1,1670
Built-up  Area,3,2,91,Ready To Move,,3,1,2010
Super built-up  Area,2,2,75,Ready To Move,,2,1,1185
Super built-up  Area,2,3,75,Ready To Move,,3,1,1600
Super built-up  Area,2,2,44,Ready To Move,,2,1,1200
Built-up  Area,,,192,Under Construction,Feb,4,1,3210
Super built-up  Area,2,2,185,Ready To Move,,2,1,1500
Plot  Area,4,1,150,Ready To Move,,6,1,1407
Super built-up  Area,2,2,45,Ready To Move,,2,1,840
Plot  Area,3,2,240,Ready To Move,,3,1,4395
Super built-up  Area,2,1,55,Ready To Move,,2,1,845
Plot  Area,5,3,650,Ready To Move,,4,1,5700
Built-up  Area,2,2,44,Ready To Move,,2,1,1160
Built-up  Area,8,0,140,Ready To Move,,8,1,3000
Super built-up  Area,2,1,62,Ready To Move,,2,1,1100
Super built-up  Area,2,3,43,Under Construction,Apr,2,1,1140
Super built-up  Area,2,1,57,Ready To Move,,2,1,1220
Plot  Area,7,0,85,Ready To Move,,8,1,1350
Super built-up  Area,2,1,36.68,Ready To Move,,2,1,1005
Plot  Area,3,2,100,Ready To Move,,3,1,500
Super built-up  Area,2,1,80.58,Under Construction,Aug,2,1,1358
Super built-up  Area,3,1,101,Ready To Move,,3,1,1569
Super built-up  Area,2,1,70,Under Construction,Apr,2,1,1240
Super built-up  Area,3,2,140,Ready To Move,,3,1,2089
Super built-up  Area,2,1,48.23,Ready To Move,,2,1,1206
Super built-up  Area,2,3,40,Ready To Move,,2,1,1150
Built-up  Area,3,3,205,Ready To Move,,3,1,2511
Built-up  Area,1,0,22,Ready To Move,,2,1,460
Built-up  Area,6,3,250,Ready To Move,,6,1,4400
Super built-up  Area,2,2,105,Ready To Move,,3,1,1660
Built-up  Area,,,224.5,Under Construction,Oct,4,1,3203.5
Super built-up  Area,2,2,78,Under Construction,Mar,2,1,1326
Super built-up  Area,2,2,60.8,Ready To Move,,3,1,1325
Super built-up  Area,5,2,102,Ready To Move,,3,1,1499
Built-up  Area,7,2,210,Ready To Move,,6,1,3000
Super built-up  Area,3,2,88,Ready To Move,,3,1,1665
Super built-up  Area,2,2,37,Under Construction,Sep,2,1,708
Super built-up  Area,2,2,58.06,Ready To Move,,2,1,1060
Plot  Area,6,3,160,Ready To Move,,6,1,710
Built-up  Area,2,2,70,Ready To Move,,2,1,1000
Super built-up  Area,2,1,28.88,Under Construction,Dec,2,1,1000
Super built-up  Area,2,2,70,Ready To Move,,3,1,1450
Plot  Area,4,2,155,Ready To Move,,4,1,1200
Super built-up  Area,2,3,80,Under Construction,Aug,2,1,1296
Super built-up  Area,3,2,90,Ready To Move,,3,1,1540
Plot  Area,4,1,245,Ready To Move,,4,1,2894
Super built-up  Area,2,1,48,Ready To Move,,3,1,1330
Built-up  Area,2,1,65,Ready To Move,,2,1,1200
Built-up  Area,3,1,90,Ready To Move,,3,1,1200
Super built-up  Area,3,3,138,Ready To Move,,3,1,2502
Built-up  Area,1,1,17,Ready To Move,,2,1,650
Plot  Area,2,1,150,Ready To Move,,3,1,2400
Super built-up  Area,2,2,43,Ready To Move,,2,1,1007
Super built-up  Area,2,2,50,Ready To Move,,2,1,1200
Super built-up  Area,2,2,49.9,Ready To Move,,2,1,966
Built-up  Area,2,1,98,Ready To Move,,3,1,1630
Built-up  Area,3,2,229,Ready To Move,,3,1,1640
Built-up  Area,2,2,55.68,Ready To Move,,2,1,782
Super built-up  Area,2,2,66.78,Under Construction,Apr,2,1,1260
Super built-up  Area,3,3,120,Ready To Move,,3,1,1800
Super built-up  Area,2,2,75,Ready To Move,,3,1,1413
